pod_id_location,start_date_utc,end_date_utc,relocate_date_utc,scaling_method,location_name,borough,type,ulez,latitude,longitude,x_coord,y_coord,distance_from_road,height,pollutant
1245,2019-02-15 16:45:00,2019-11-17 23:59:00,,Gold Pod Colocation,Dollis Road,Barnet,Kerbside,No,51.604486,-0.206551,524299.9229199999,191038.626708,1.2,3.1,no2
2245,2019-05-05 01:00:00,2019-11-17 23:59:00,,Network Based Calibration,Great Ormond St Hospital,Camden,Roadside,Yes,51.521879999999996,-0.12043399999999999,530499.42614,182002.318099,2.5,2.8,no2
3245,2018-10-04 18:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Savernake Road,Camden,Urban Background,No,51.555484899999996,-0.1523385,528191.724024,185682.95866600002,5.0,2.2969999999999997,no2
5245,2018-11-26 10:00:00,2019-11-17 23:59:00,,Network Based Calibration,Garrett Lane,Wandsworth,Kerbside,No,51.440399,-0.186775,526117.994405,172825.445928,1.0,3.445,no2
6245,2019-01-11 14:45:00,2019-11-17 23:59:00,,Network Based Calibration,Hanworth Road,Hounslow,Kerbside,No,51.468625,-0.35977,514028.37057200004,175680.724203,1.2,3.2,no2
7245,2018-09-20 13:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Greenwich Church Street,Greenwich,Kerbside,No,51.4813,-0.009859999999999999,538290.731868,177691.813574,0.5,3.0,no2
8245,2019-03-11 15:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Geraldine Street,Southwark,Urban Background,Yes,51.49562,-0.10541199999999999,531617.141645,179108.998027,21.0,2.225,no2
9245,2019-04-04 07:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Whitehall,Westminster,Kerbside,Yes,51.504566,-0.126167,530148.429639,180066.301618,1.2,2.9,no2
10245,2019-04-09 15:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Borough High Street,Southwark,Roadside,Yes,51.506130999999996,-0.088654,532747.542696,180309.973221,3.0,5.0,no2
11245,2019-04-05 03:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Cadogan Gardens,Kensington & Chelsea,Roadside,No,51.493217,-0.158772,527919.975156,178747.26442,2.3,1.7619999999999998,no2
12245,2018-10-09 13:00:00,2019-11-17 23:59:00,,Network Based Calibration,Pattison Road,Barnet,Urban Background,No,51.560877000000005,-0.195749,525167.063534,186206.45865,8.3,1.75,no2
13245,2018-10-18 13:00:00,2019-11-17 23:59:00,,Network Based Calibration,Hunslett Street,Tower Hamlets,Urban Background,No,51.529308,-0.048721,535452.332083,182958.55476,2.0,2.0,no2
15245,2018-10-25 07:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Caledonian Road,Islington,Kerbside,No,51.550067,-0.117987,530585.3665840001,185137.542717,2.3,3.1,no2
16245,2019-03-08 14:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Kensington Church Walk,Kensington & Chelsea,Urban Background,No,51.501862,-0.19241,525561.180149,179650.432143,9.0,1.525,no2
17245,2019-04-11 13:00:00,2019-11-17 23:59:00,,Network Based Calibration,Holloway Road,Islington,Roadside,No,51.555386999999996,-0.116092,530700.653308,185732.435757,2.0,2.5,no2
18245,2019-03-08 12:15:00,2019-11-17 23:59:00,,Network Based Calibration,London Road,Kingston,Kerbside,No,51.410714,-0.296626,518563.815163,169340.870626,1.0,3.25,no2
19245,2018-09-28 16:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Mansford Street,Tower Hamlets,Urban Background,No,51.528757,-0.061823,534545.1838649999,182873.12723399999,2.0,11.0,no2
20245,2019-04-05 01:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Albert Street,Camden,Roadside,No,51.536271,-0.143525,528859.417225,183562.442085,3.6,3.658,no2
21245,2018-10-18 13:00:00,2019-11-17 23:59:00,,Network Based Calibration,Wood Lane,Barking & Dagenham,Kerbside,No,51.561372,0.148582,549034.541034,186905.183853,1.0,3.0,no2
22245,2018-10-02 12:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Blackfriars Road,Southwark,Kerbside,Yes,51.505528999999996,-0.10434500000000001,531657.830173,180212.825439,0.5,2.457,no2
24245,2019-07-21 14:58:00,2019-11-17 23:59:00,,Network Based Calibration,Farringdon Street,City of London,Kerbside,Yes,51.514743,-0.104526,531621.689308,181237.126009,1.5,1.5,no2
25245,2018-09-27 09:00:00,2019-11-17 23:59:00,,Network Based Calibration,Laystall St,Camden,Roadside,Yes,51.522514,-0.11201400000000002,531087.66192,182085.68735,2.0,3.0,no2
27245,2019-04-01 15:15:00,2019-11-17 23:59:00,,Gold Pod Colocation,St Anns Hill,Wandsworth,Roadside,No,51.456143,-0.18927,525904.8362510001,174571.691156,4.2,2.145,no2
28245,2018-10-30 12:00:00,2019-11-17 23:59:00,,Network Based Calibration,Markfield Road,Haringey,Kerbside,No,51.583915999999995,-0.064269,534213.182586,189002.501448,1.1,3.24,no2
29245,2019-01-11 15:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Crowthorne Road,Kensington & Chelsea,Roadside,No,51.516554,-0.21850300000000003,523710.44579300005,181239.85472899998,0.9,3.353,no2
30245,2019-03-15 11:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Stockwell Road,Lambeth,Roadside,No,51.466706,-0.11747300000000001,530863.914956,175873.244142,5.0,2.286,no2
31245,2018-10-11 16:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Tower Bridge Road,Southwark,Roadside,Yes,51.501965000000006,-0.077592,533524.405611,179865.648389,3.3,2.945,no2
32245,2018-11-01 09:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Southbury Road,Enfield,Kerbside,No,51.649088,-0.054961,534664.6639020001,196264.845561,1.1,3.1,no2
33245,2019-09-17 13:00:00,2019-11-17 23:59:00,,Network Based Calibration,Pemberton Gardens,Islington,Urban Background,No,51.562469,-0.132545,529542.59152,186496.81586300003,0.3,3.0,no2
34245,2018-10-16 15:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Haimo Road,Greenwich,Urban Background,No,51.455253000000006,0.040655000000000004,541881.092924,174892.705572,5.0,2.0,no2
35245,2018-10-18 13:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Triangle Adventure Playground,Lambeth,Urban Background,No,51.481924,-0.11555599999999999,530952.219797,177567.787384,6.0,2.35,no2
36245,2018-12-13 15:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Black Horse Court,Southwark,Kerbside,Yes,51.496482,-0.088226,532799.239664,179229.105928,0.3,3.1,no2
37245,2018-10-12 12:00:00,2019-11-17 23:59:00,,Initial Reference Site Colocation,Station Parade,Barking & Dagenham,Kerbside,No,51.539063,0.080874,544410.262693,184291.01030599998,1.0,3.114,no2
38245,2018-10-11 12:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Chigwell Road,Redbridge,Roadside,No,51.595228999999996,0.038207,541270.754566,190456.49219000002,6.0,3.023,no2
39245,2019-05-22 17:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Hendon Street,Greenwich,Urban Background,No,51.495027,0.010292,539650.2469970001,179257.271267,0.0,3.0,no2
40245,2019-03-02 14:45:00,2019-11-17 23:59:00,,Gold Pod Colocation,Queen Margarets Grove,Islington,Urban Background,No,51.549215000000004,-0.079761,533241.249546,185115.31763399998,5.7,2.305,no2
41245,2018-10-10 17:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Fulham Palace Road,Hammersmith & Fulham,Roadside,No,51.486377000000005,-0.22084299999999998,523625.64233100007,177878.26708299998,5.7,2.562,no2
42245,2019-02-12 13:00:00,2019-11-17 23:59:00,,Network Based Calibration,Romford Road,Newham,Kerbside,No,51.554615000000005,0.05898200000000001,542843.0601069999,185977.86116600002,0.5,3.3,no2
42451,2019-02-19 15:00:00,2019-11-05 01:00:00,2019-11-05 01:00:00,Gold Pod Colocation,Wandsworth Road,Lambeth,Kerbside,No,51.475735,-0.131209,529881.9791390001,176852.26927000002,0.5,3.12,no2
43245,2018-10-12 12:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Durham Street,Lambeth,Urban Background,Yes,51.485597,-0.11909000000000002,530699.4931109999,177970.874278,8.5,3.011,no2
44245,2019-04-17 15:59:00,2019-11-17 23:59:00,,Gold Pod Colocation,West Smithsfield,City of London,Kerbside,Yes,51.518921,-0.100905,531861.389663,181710.159045,1.5,3.012,no2
45245,2019-02-23 12:30:00,2019-11-17 23:59:00,,Network Based Calibration,Ladbroke Grove,Kensington & Chelsea,Roadside,No,51.510768,-0.20529,524642.532682,180618.62420299998,0.4,5.87,no2
46245,2018-10-26 12:00:00,2019-11-17 23:59:00,,Network Based Calibration,Exhibition Road,Kensington & Chelsea,Roadside,No,51.495475,-0.173573,526893.216811,178972.81744100002,3.1,6.1,no2
48245,2018-10-19 12:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Peckham Road,Southwark,Urban Background,No,51.474326,-0.078151,533567.022028,176786.363545,,2.9,no2
50245,2018-10-17 17:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Richmond Road,Richmond,Roadside,No,51.447883000000004,-0.326007,516424.743534,173428.98346800002,4.6,5.21,no2
51245,2019-03-08 14:45:00,2019-11-17 23:59:00,,Gold Pod Colocation,Lancell Street,Hackney,Urban Background,No,51.5618,-0.07587,533474.200197,186521.90285699998,22.2,2.943,no2
52245,2018-12-08 09:15:00,2019-11-17 23:59:00,,Network Based Calibration,Dagnall Street,Wandsworth,Urban Background,No,51.4738,-0.157493,528063.097291,176590.26077,36.7,3.75,no2
52450,2018-10-09 19:00:00,2018-11-26 01:00:00,2018-11-26 01:00:00,Network Based Calibration,Steerforth Street,Wandsworth,Urban Background ,No,51.438489000000004,-0.187703,526062.270241,172611.201459,2.656,3.445,no2
53245,2018-10-17 11:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Devas Street,Tower Hamlets,Urban Background,No,51.523099,-0.012704,537967.746117,182340.716925,12.0,2.0,no2
54245,2018-10-10 12:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Holloway Bus Garage,Islington,Roadside,No,51.561917,-0.132947,529517.730489,186432.37439100002,2.1,2.5810000000000004,no2
55245,2018-12-17 12:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Upper Richmond Road,Richmond,Roadside,No,51.465115999999995,-0.254736,521332.781807,175460.284649,4.0,3.0,no2
56245,2018-10-17 13:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,The Vale,Ealing,Urban Background,No,51.506679,-0.262782,520664.332832,180059.575701,10.0,3.5,no2
57245,2018-10-18 17:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Lollard Street,Lambeth,Urban Background,Yes,51.492714,-0.114098,531022.545675,178770.273311,10.0,2.0,no2
58245,2018-10-19 12:00:00,2019-11-17 23:59:00,,Initial Reference Site Colocation,Woolwich Road,Bexley,Roadside,No,51.481228,0.12678699999999998,547779.30374,177953.27162,1.0,4.5,no2
59245,2019-03-20 15:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Drury Lane,Westminster,Urban Background,Yes,51.513472,-0.119223,530605.458083,181065.683522,7.0,3.0,no2
60245,2018-10-19 12:00:00,2019-11-17 23:59:00,,Initial Reference Site Colocation,Camberwell Road,Southwark,Kerbside,No,51.475739000000004,-0.093557,532495.989106,176918.923052,0.7,3.1,no2
61245,2019-03-16 00:00:00,2019-11-17 23:59:00,,Network Based Calibration,High Road,Brent,Kerbside,No,51.551997,-0.299651,517988.60503599996,185047.40780699998,1.0,3.0,no2
62245,2019-03-08 10:45:00,2019-11-17 23:59:00,,Gold Pod Colocation,Hendon Way,Barnet,Urban Background,No,51.571687,-0.210037,524142.974013,187382.424909,10.6,4.86,no2
63245,2018-10-15 18:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Oakdale Road,Redbridge,Urban Background,No,51.592484999999996,0.033283999999999994,540944.936792,190138.843148,1.5,2.965,no2
64245,2018-12-22 13:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Morpeth Street,Tower Hamlets,Roadside,No,51.527588,-0.047295,535556.345802,182769.925031,2.0,2.0,no2
65245,2019-01-22 12:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Edgware Road,Westminster,Kerbside,No,51.51419,-0.16197899999999998,527638.788829,181073.948739,0.3,3.1,no2
67245,2019-04-17 15:59:00,2019-11-17 23:59:00,,Gold Pod Colocation,Wyndham Road,Ealing,Urban Background,No,51.500609999999995,-0.320726,516658.632925,179299.094036,,2.866,no2
68245,2018-11-02 00:00:00,2019-11-17 23:59:00,,Network Based Calibration,Blomfontein Road,Hammersmith & Fulham,Roadside,No,51.514071,-0.235418,522540.618834,180934.59996300002,0.25,3.5,no2
69245,2018-10-18 15:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Devonshire Street,Hounslow,Urban Background,No,51.488199,-0.255688,521205.60507,178024.486726,,2.126,no2
70245,2018-12-22 12:45:00,2019-11-17 23:59:00,,Gold Pod Colocation,St James,Lewisham,Urban Background,No,51.474143,-0.038547000000000005,536322.404508,176842.962945,,2.13,no2
